Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,Molecule,Canonical SMILES,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility,
 Ammi majus,Xanthotoxin,O=c1ccc2c(o1)cc1c(c2)cco1,C11H6O3,186.16,14,13,0,0,3,0,52.26,43.35,2.01,1.67,2.54,1.48,2.91,2.12,-2.73,3.44E-01,1.85E-03,Soluble,-2.19,1.19E+00,6.39E-03,Soluble,-4.5,5.87E-03,3.16E-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.25,0,0,0,0,1,0.55,0,1,1,3.06
 Ammi majus,(+)-Marmesin,COc1c2oc(=O)ccc2cc2c1occ2,C12H8O4,216.19,16,13,0.08,1,4,0,58.75,52.58,2.22,2,2.55,1.18,2.88,2.16,-2.98,2.29E-01,1.06E-03,Soluble,-2.73,4.02E-01,1.86E-03,Soluble,-4.63,5.01E-03,2.32E-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.2,0,0,0,0,0,0.55,0,1,1,2.97
Ammi majus,Alloimperatorin,O=c1ccc2c(o1)cc1c(c2)C[C@H](O1)C(O)(C)C,C14H14O4,246.26,18,10,0.36,1,4,1,67.45,59.67,2.55,1.91,1.87,1.6,2.78,2.14,-2.92,2.99E-01,1.22E-03,Soluble,-2.79,4.03E-01,1.64E-03,Soluble,-3.93,2.92E-02,1.19E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.45,0,0,0,0,0,0.55,0,1,1,3.35
Ammi majus,Astragalin,CC(=CCc1c2ccc(=O)oc2c(c2c1cco2)O)C,C16H14O4,270.28,20,13,0.19,2,4,1,78,63.58,2.62,3.88,3.75,2.14,3.97,3.27,-4.31,1.33E-02,4.91E-05,Moderately soluble,-4.91,3.30E-03,1.22E-05,Moderately soluble,-5.2,1.73E-03,6.38E-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.19,0,0,0,0,0,0.55,0,2,1,3.2
Ammi majus,Isorhamnetin 3-O-glucoside,OC[C@H]1O[C@@H](Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(cc2)O)[C@@H]([C@H]([C@@H]1O)O)O,C21H20O11,448.38,32,16,0.29,4,11,7,108.13,190.28,1.29,0.72,-0.24,-2.1,-0.12,-0.09,-3.18,2.97E-01,6.61E-04,Soluble,-4.29,2.28E-02,5.08E-05,Moderately soluble,-2.1,3.55E+00,7.91E-03,Soluble,Low,No,No,No,No,No,No,No,-8.52,2,0,1,1,3,0.17,0,0,1,5.29
Ammi majus,Narcissoside,OC[C@H]1O[C@@H](Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(c(c2)OC)O)[C@@H]([C@@H]([C@@H]1O)O)O,C22H22O12,478.4,34,16,0.32,5,12,7,114.63,199.51,2.82,0.69,-0.24,-2.37,-0.05,0.17,-3.26,2.63E-01,5.51E-04,Soluble,-4.46,1.67E-02,3.49E-05,Moderately soluble,-2.2,3.03E+00,6.32E-03,Soluble,Low,No,Yes,No,No,No,No,No,-8.73,2,0,1,1,3,0.17,0,0,1,5.44
Ammi majus,Isoarnottinin,COc1cc(ccc1O)c1oc2cc(O)cc(c2c(=O)c1O[C@@H]1O[C@H](CO[C@@H]2O[C@@H](C)[C@@H]([C@@H]([C@H]2O)O)O)[C@@H]([C@H]([C@@H]1O)O)O)O,C28H32O16,624.54,44,16,0.46,7,16,9,145.85,258.43,1.87,-0.01,-1.38,-3.69,-1.55,-0.95,-3.51,1.92E-01,3.07E-04,Soluble,-4.97,6.73E-03,1.08E-05,Moderately soluble,-0.97,6.66E+01,1.07E-01,Soluble,Low,No,Yes,No,No,No,No,No,-10.12,3,4,1,1,4,0.17,0,0,1,6.64
Ammi majus,Majurin,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(oc4c(c3=O)c(O)cc(c4)O)c3ccc(cc3)O)[C@H]([C@H]([C@@H]2O)O)O[C@@H]2O[C@@H](C)[C@@H]([C@@H]([C@@H]2O)O)OC(=O)C)[C@@H]([C@H]([C@@H]1O)O)O,C35H42O21,798.7,56,16,0.54,11,21,11,181.48,334.42,1.81,-1.95,-3,-5.1,-3.21,-2.29,-3.05,7.14E-01,8.94E-04,Soluble,-4.55,2.25E-02,2.82E-05,Moderately soluble,0.37,1.87E+03,2.34E+00,Soluble,Low,No,Yes,No,No,No,No,No,-12.56,3,4,2,1,4,0.17,0,0,2,7.78
Ammi visnaga,Coronin,COc1c2OCCc2c(c2c1oc(C)cc2=O)OC,C14H14O5,262.26,19,10,0.36,2,5,0,69.78,57.9,2.67,1.87,2.05,0.49,3.46,2.11,-2.9,3.29E-01,1.25E-03,Soluble,-2.71,5.14E-01,1.96E-03,Soluble,-4.55,7.43E-03,2.83E-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,Yes,-6.57,0,0,0,0,0,0.55,0,0,0,3.15
 Ammi visnaga,Khellol glucoside,OC[C@H]1O[C@@H](OCc2cc(=O)c3c(o2)cc2c(c3OC)cco2)[C@@H]([C@@H]([C@@H]1O)O)O,C19H20O10,408.36,29,13,0.42,5,10,4,97.26,151.96,2.9,-0.55,-0.29,-2.25,0.6,0.08,-2.03,3.84E+00,9.40E-03,Soluble,-2.17,2.75E+00,6.74E-03,Soluble,-2.77,6.93E-01,1.70E-03,Soluble,Low,No,No,No,No,No,No,No,-9.18,0,0,1,1,1,0.55,0,0,1,5.13
 Ammi visnaga,Visnagin,COc1c2c(=O)cc(oc2cc2c1cco2)C,C13H10O4,230.22,17,13,0.15,1,4,0,63.71,52.58,2.44,2.29,2.86,0.63,3.35,2.32,-3.21,1.42E-01,6.17E-04,Soluble,-3.03,2.14E-01,9.30E-04,Soluble,-5.02,2.18E-03,9.48E-06,Moderately soluble,High,Yes,No,Yes,No,No,No,Yes,-6.08,0,0,0,0,0,0.55,0,0,1,2.89
 Ammi visnaga,Athamantin,CC(CC(=O)O[C@@H]1c2c(O[C@@H]1C(OC(=O)CC(C)C)(C)C)ccc1c2oc(=O)cc1)C,C24H30O7,430.49,31,10,0.54,9,7,0,116.93,92.04,3.76,4.48,4.23,2.94,4.89,4.06,-4.98,4.55E-03,1.06E-05,Moderately soluble,-6.13,3.17E-04,7.36E-07,Poorly soluble,-5.99,4.37E-04,1.02E-06,Moderately soluble,High,No,No,No,Yes,Yes,Yes,Yes,-5.75,0,0,0,0,0,0.55,0,2,3,4.91
